CGPA_VI,TOC_TH,SGPA_V,OS_grade,CD_TH,CGG_PR,Open_Elective_1_grade,Disc_Elective_1_Grade,COA_TH,OE1,isPlaced
8.65,8,9.2,10.0,7,10,10.0,10,8,10,1
8.29,8,8.65,8.5,8,9,10.0,9,8,10,0
7.18,6,7.8,8.0,8,8,8.5,9,7,10,0
8.65,8,8.85,9.5,8,9,10.0,9,8,10,0
9.2,8,8.85,9.0,9,10,9.0,10,9,9,0
5.11,0,5.29,4.0,0,8,7.0,10,0,7,0
7.83,8,8.45,8.5,6,9,9.0,10,8,9,1
9.07,9,9.25,9.5,9,10,9.5,10,8,10,1
8.64,9,9.0,9.0,8,9,9.0,10,9,10,1
7.96,8,7.95,8.5,5,8,8.5,10,7,10,1
8.48,8,8.25,8.5,9,9,8.0,9,10,10,1
8.85,10,9.3,9.5,9,9,9.0,10,9,9,1
8.48,7,8.0,8.5,8,10,8.5,8,7,9,1
4.44,0,2.7,4.0,0,0,5.0,8,0,10,0
8.76,9,9.4,10.0,8,9,9.5,10,10,10,0
7.57,9,8.15,8.5,7,10,7.5,10,8,10,1
7.31,0,7.05,8.5,8,9,9.0,8,8,9,0
8.28,7,8.15,9.0,9,9,9.0,8,8,10,1
7.98,7,8.0,8.5,8,9,8.0,9,8,8,0
8.51,10,9.35,10.0,8,10,9.0,10,9,10,1
7.17,8,8.5,8.0,7,9,9.0,10,8,10,0
6.73,6,7.25,6.5,4,8,7.0,10,6,8,0
7.13,8,8.25,7.5,8,9,9.0,9,8,10,0
8.59,8,8.95,9.5,7,10,9.5,9,9,10,0
9.24,10,9.6,9.5,8,10,9.5,10,10,10,0
8.6,8,8.6,8.0,7,9,9.5,10,7,10,1
8.56,8,8.7,9.0,7,10,8.5,9,9,9,0
8.94,9,8.9,9.5,8,9,9.0,10,8,9,1
4.26,0,3.0,7.0,4,9,0.0,0,0,0,0
7.1,6,7.0,6.5,8,7,7.5,10,8,9,0
8.5,7,8.65,9.0,8,8,9.0,10,10,9,0
8.77,9,8.85,9.5,8,10,9.0,10,7,10,1
8.7,10,9.15,9.0,0,10,9.5,9,8,10,1
6.84,8,7.35,8.5,5,9,6.5,8,5,7,0
9.55,10,9.85,9.5,10,10,10.0,10,10,10,1
